编码,名称,NAV,ACCNAV,日期,DGR,DGV
000001,华夏成长,0.0000,0.0000,2018-08-31 00:00:00,---,---
000003,中海可转债A,0.0000,0.0000,2018-08-31 00:00:00,---,---
000004,中海可转债C,0.0000,0.0000,2018-08-31 00:00:00,---,---
000005,嘉实增强信用定期债券,0.0000,0.0000,2018-08-31 00:00:00,---,---
000011,华夏大盘精选,0.0000,0.0000,2018-08-31 00:00:00,---,---
000020,景顺长城品质投资混合,0.0000,0.0000,2018-08-31 00:00:00,---,---
000028,华富保本混合,0.0000,0.0000,2018-08-31 00:00:00,---,---
000030,长城久利保本混合,0.0000,0.0000,2018-08-31 00:00:00,---,---
000041,华夏全球精选,0.0000,0.0000,2018-08-31 00:00:00,---,---
000043,嘉实美国成长股票,0.0000,0.0000,2018-08-31 00:00:00,---,---
